"","term","description","package","title"
"1","as.numeric()","coerce object to numeric","base","R4DS2e: Spreadsheets"
"2","bind_rows()","bind rows in dplyr","dplyr","R4DS2e: Spreadsheets"
"3","c()","create vector of numbers, characters, etc.","base","R4DS2e: Spreadsheets"
"4","case_when()","conditionally set values across multiple conditions","dplyr","R4DS2e: Spreadsheets"
"5","dim()","return dimensions of matrix, data frame, etc.","base","R4DS2e: Spreadsheets"
"6","excel_sheets()","return the sheet names from an Excel spreadsheet","readxl","R4DS2e: Spreadsheets"
"7","factor()","encode vector as factor","base","R4DS2e: Spreadsheets"
"8","fill()","fill in missing values","tidyr","R4DS2e: Spreadsheets"
"9","filter()","keep rows based on values of columns","dplyr","R4DS2e: Spreadsheets"
"12","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","dplyr","R4DS2e: Spreadsheets"
"14","library()","load R packages","base","R4DS2e: Spreadsheets"
"15","mutate()","create or modify data columns","dplyr","R4DS2e: Spreadsheets"
"17","parse_number()","parse a character vector to numbers","readr","R4DS2e: Spreadsheets"
"18","print()","prints argument","base","R4DS2e: Spreadsheets"
"19","read_excel()","import either xls or xlsx Excel files","readxl","R4DS2e: Spreadsheets"
"20","read_sheet()","import a Google sheet (function name matches readr conventions)","googlesheets4","R4DS2e: Spreadsheets"
"21","readxl_example()","get path to readxl example","readxl","R4DS2e: Spreadsheets"
"22","relocate()","change column order","dplyr","R4DS2e: Spreadsheets"
"25","str_detect()","detect presence of pattern in string","stringr","R4DS2e: Spreadsheets"
"26","tibble()","create tibble","tibble","R4DS2e: Spreadsheets"
