"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e Ch. 11"
"2","annotate()","annotate plot independent of data","ggplot2","R4DS2e Ch. 11"
"3","arrange()","change order of rows based on values of columns","dplyr","R4DS2e Ch. 11"
"4","arrow()","plot arrows","grid","R4DS2e Ch. 11"
"5","c()","create vector of numbers, characters, etc.","base","R4DS2e Ch. 11"
"6","case_when()","conditionally set values across multiple conditions","dplyr","R4DS2e Ch. 11"
"7","class()","return object class","base","R4DS2e Ch. 11"
"8","coord_cartesian()","use Cartesian coordinates","ggplot2","R4DS2e Ch. 11"
"9","coord_fixed()","force aspect ratio between data units on axes","ggplot2","R4DS2e Ch. 11"
"10","cumsum()","calculate the cumulative sums of a vector","base","R4DS2e Ch. 11"
"11","cut()","divide range of vector into intervals","base","R4DS2e Ch. 11"
"12","desc()","order in descending order","dplyr","R4DS2e Ch. 11"
"18","facet_wrap()","create subplots from one variable","ggplot2","R4DS2e Ch. 11"
"19","filter()","keep rows based on values of columns","dplyr","R4DS2e Ch. 11"
"20","geom_bar()","create bar chart based on counts in data","ggplot2","R4DS2e Ch. 11"
"22","geom_boxplot()","add layer of boxplots to plot","ggplot2","R4DS2e Ch. 11"
"24","geom_hex()","create heatmap of bin counts using hexagons","ggplot2","R4DS2e Ch. 11"
"26","geom_point()","add layer of points to plot","ggplot2","R4DS2e Ch. 11"
"27","geom_segment()","plot line segment","ggplot2","R4DS2e Ch. 11"
"28","geom_smooth()","create smoothed lines to plot","ggplot2","R4DS2e Ch. 11"
"29","geom_text()","adds text to plot","ggplot2","R4DS2e Ch. 11"
"31","ggplot()","create a plotting area","ggplot2","R4DS2e Ch. 11"
"32","group_by()","group data by levels of column","dplyr","R4DS2e Ch. 11"
"34","guide_legend()","control legend formatting","ggplot2","R4DS2e Ch. 11"
"35","guides()","set guides for scale","ggplot2","R4DS2e Ch. 11"
"39","labs()","modify axis, legend, and plot labels","ggplot2","R4DS2e Ch. 11"
"40","library()","load R packages","base","R4DS2e Ch. 11"
"41","list()","create recursive vector (list)","base","R4DS2e Ch. 11"
"42","log10()","compute base 10 logarithm","base","R4DS2e Ch. 11"
"43","mutate()","create or modify data columns","dplyr","R4DS2e Ch. 11"
"47","quote()","returns quoted expression","base","R4DS2e Ch. 11"
"48","range()","return vector of minimum and maximum","base","R4DS2e Ch. 11"
"49","rnorm()","generate random sample from normal distribution","stats","R4DS2e Ch. 11"
"50","row_number()","rank vector elements with ties set to first","dplyr","R4DS2e Ch. 11"
"51","scale_color_brewer()","map colors to data with ColorBrewer","ggplot2","R4DS2e Ch. 11"
"52","scale_color_discrete()","scale color aesthetic to be discrete","ggplot2","R4DS2e Ch. 11"
"53","scale_color_gradient()","scale color aesthetic to continuous color gradient","ggplot2","R4DS2e Ch. 11"
"54","scale_color_manual()","map colors to data manually","ggplot2","R4DS2e Ch. 11"
"57","scale_x_continuous()","scale x axis to be continuous","ggplot2","R4DS2e Ch. 11"
"58","scale_x_date()","scale x axis to be date","ggplot2","R4DS2e Ch. 11"
"59","scale_x_log10()","scale x axis to be log base 10","ggplot2","R4DS2e Ch. 11"
"60","scale_y_continuous()","scale y axis to be continuous","ggplot2","R4DS2e Ch. 11"
"61","scale_y_log10()","scale y axis to be log base 10","ggplot2","R4DS2e Ch. 11"
"62","select()","keep specified columns","dplyr","R4DS2e Ch. 11"
"63","seq()","create sequences of numbers","base","R4DS2e Ch. 11"
"64","slice_head()","select the first (specified) number of rows","dplyr","R4DS2e Ch. 11"
"67","str_wrap()","wrap strings into nicely formatted paragraphs","stringr","R4DS2e Ch. 11"
"68","sum()","sum elements of vector","base","R4DS2e Ch. 11"
"69","theme()","customize non-data components of plot","ggplot2","R4DS2e Ch. 11"
"71","tibble()","create tibble","tibble","R4DS2e Ch. 11"
"72","unique()","return vector with duplicate elements removed","base","R4DS2e Ch. 11"
