"","term","description","package","title"
"1","c()","create vector of numbers, characters, etc.","base","R4DS-2e Ch. 14"
"2","charToRaw()","converts a length-one character string to raw bytes","base","R4DS-2e Ch. 14"
"3","coalesce()","combine vectors by returning the first non-missing value at each position","dplyr","R4DS-2e Ch. 14"
"4","count()","count unique values of variables","dplyr","R4DS-2e Ch. 14"
"7","filter()","keep rows based on values of columns","dplyr","R4DS-2e Ch. 14"
"8","group_by()","group data by levels of column","dplyr","R4DS-2e Ch. 14"
"10","library()","load R packages","base","R4DS-2e Ch. 14"
"11","mutate()","create or modify data columns","dplyr","R4DS-2e Ch. 14"
"17","str_c()","combines two or more strings","stringr","R4DS-2e Ch. 14"
"18","str_equal()","compare if two strings are equal","stringr","R4DS-2e Ch. 14"
"19","str_flatten()","flatten a string","stringr","R4DS-2e Ch. 14"
"20","str_glue()","format and interpolate a string with glue","stringr","R4DS-2e Ch. 14"
"21","str_length()","returns number of characters in a string","stringr","R4DS-2e Ch. 14"
"22","str_sort()","sort numeric or character vector (stringr version)","stringr","R4DS-2e Ch. 14"
"23","str_sub()","extract parts of a string","stringr","R4DS-2e Ch. 14"
"24","str_to_upper()","change text to upper case","stringr","R4DS-2e Ch. 14"
"25","str_view()","view first regular expression match","stringr","R4DS-2e Ch. 14"
"26","summarize()","summarize data usually by grouping variable","dplyr","R4DS-2e Ch. 14"
"27","tibble()","create tibble","tibble","R4DS-2e Ch. 14"
"28","tribble()","create row-wise tibble","tibble","R4DS-2e Ch. 14"
