"","term","description","package","title"
"1","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e Ch. 18"
"2","anti_join()","join two data sets dropping all observations in x that have a match in y","dplyr","R4DS2e Ch. 18"
"3","c()","create vector of numbers, characters, etc.","base","R4DS2e Ch. 18"
"4","coalesce()","combine vectors by returning the first non-missing value at each position","dplyr","R4DS2e Ch. 18"
"5","complete()","complete a data frame with missing combinations of data","tidyr","R4DS2e Ch. 18"
"6","count()","count unique values of variables","dplyr","R4DS2e Ch. 18"
"7","distinct()","select only unique/distinct rows from data frame","dplyr","R4DS2e Ch. 18"
"8","everything()","select all variables","tidyselect","R4DS2e Ch. 18"
"9","factor()","encode vector as factor","base","R4DS2e Ch. 18"
"10","fill()","fill in missing values","tidyr","R4DS2e Ch. 18"
"11","geom_bar()","create bar chart based on counts in data","ggplot2","R4DS2e Ch. 18"
"12","ggplot()","create a plotting area","ggplot2","R4DS2e Ch. 18"
"13","group_by()","group data by levels of column","dplyr","R4DS2e Ch. 18"
"14","is.na()","determine whether elements of vector are missing","base","R4DS2e Ch. 18"
"15","length()","return number of elements in a vector","base","R4DS2e Ch. 18"
"16","library()","load R packages","base","R4DS2e Ch. 18"
"17","max()","compute maxima of input values","base","R4DS2e Ch. 18"
"18","mean()","calculate mean of elements of vector","base","R4DS2e Ch. 18"
"19","min()","compute minima of input values","base","R4DS2e Ch. 18"
"20","n()","return current group size","dplyr","R4DS2e Ch. 18"
"21","na_if()","replace values with NA","dplyr","R4DS2e Ch. 18"
"24","pivot_wider()","pivot data frame to be wider","tidyr","R4DS2e Ch. 18"
"26","sd()","compute standard deviation","stats","R4DS2e Ch. 18"
"29","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e Ch. 18"
"30","tibble()","create tibble","tibble","R4DS2e Ch. 18"
"31","tribble()","create row-wise tibble","tibble","R4DS2e Ch. 18"
